background_route_record_id,display_name,canonical_sphere_id,canonical_sphere_name,background_only,ordinary_training_presentation,selection_disposition,acquisition_route,source_text,source_provenance,record_commitment_sha256
tianxia.background_talent.beastmastery.mount_training,Mount Training (Beastmastery),tianxia.sphere.beastmastery,Beastmastery,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Beastmastery Sphere.** You gain the Beastmastery sphere and the **Mount Training** talent.,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",0587edcfcbdfcf83cd7510f2dfcd5081f21f8bc0068f27be4bff9c4ad1e856cf
tianxia.background_talent.blacksmith.field_repair,Field Repair (Blacksmith),tianxia.sphere.blacksmith,Blacksmith,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Blacksmith Sphere.** You gain the Blacksmith sphere and the **Field Repair** talent.,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",2bf09ed2c2a1594522e483c012ee8f3ee5c2041b4239199e46680f192eaa4280
tianxia.background_talent.blacksmith.workman_s_eye,Workman’s Eye (Blacksmith),tianxia.sphere.blacksmith,Blacksmith,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Blacksmith Sphere.** You gain the Blacksmith sphere and the **Workman’s Eye** talent.,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",5d7d47c854aa94071edd97e42a21daa4fb2360d9551152b85cceb93a8f1d9dc6
tianxia.background_talent.brute.focused_might,Focused Might (Brute),tianxia.sphere.brute,Brute,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Brute Sphere.** You gain the Brute sphere and the **Focused Might** talent.,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",320d7bdfb6ff7585b350f02fe799a24768a78b54a66646f3f0b9a026123a71ec
tianxia.background_talent.dark.blindfold,Blindfold (Dark),tianxia.sphere.dark,Dark,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Blindfold**,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",0eb65ec9bca8e72939794855392d3000d2ac33dcefd93113176fadfc4bd26382
tianxia.background_talent.dark.hide_in_darkness,Hide in Darkness (Dark),tianxia.sphere.dark,Dark,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Hide in Darkness**,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",a5b58ec56f3522441419fe33581f1be082e1cbe4133f9291813359d7d9f5f1e5
tianxia.background_talent.dark.shadowed_mien,Shadowed Mien (Dark),tianxia.sphere.dark,Dark,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Shadowed Mien**,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",e86cd8d40c020861d658d5ee3365cbfd93419e1a6c2bf1cd2ab4fcb717f47a04
tianxia.background_talent.dreams.dream_ward,Dream Ward (Dreams),tianxia.sphere.dreams,Dreams,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Dream Ward**,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",5a07ec1a3e9228a474c8564ce5fa0837e48fce7c0e6e7170482c88a560028bd1
tianxia.background_talent.dreams.dream_whisper,Dream Whisper (Dreams),tianxia.sphere.dreams,Dreams,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Dream Whisper**,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",ace68c073f8596a7ac16413fcfeb0bf435287a72dcb9565f5a0bab370a19e87c
tianxia.background_talent.dreams.shared_dream,Shared Dream (Dreams),tianxia.sphere.dreams,Dreams,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Shared Dream**,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",480bbfbcb01a1b2c34abfaee2cc159f51d2dd331eb3ffd01ccbb3c982b1958ca
tianxia.background_talent.equipment.armor_training,Armor Training (Equipment),tianxia.sphere.equipment,Equipment,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Equipment Sphere.** You gain the Equipment sphere and the **Armor Training** talent.,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",68a0bcfa782ffb742b60044e7ed6f8053948eb11c2fb75fa4c8071288beb7b4c
tianxia.background_talent.equipment.field_maintenance,Field Maintenance (Equipment),tianxia.sphere.equipment,Equipment,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Equipment Sphere.** You gain the Equipment sphere and the **Field Maintenance** talent.,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",a662af8c89484fe7734ae5b2e1969fc469d5636e06f0687dc7313afcffa9bfd0
tianxia.background_talent.equipment.hidden_plates,Hidden Plates (Equipment),tianxia.sphere.equipment,Equipment,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Equipment Sphere.** You gain the Equipment sphere and the **Hidden Plates** talent.,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",01eb84efb4ad2432efbc7095b80f3bb04c9cd6dcf5785662005b4838d4ba6149
tianxia.background_talent.equipment.padded_layers,Padded Layers (Equipment),tianxia.sphere.equipment,Equipment,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Equipment Sphere.** You gain the Equipment sphere and the **Padded Layers** talent.,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",08367fbc6452bbe41ca19cd2b6efa084f750d958e3396e2a4a9b18c3b15d4ddb
tianxia.background_talent.equipment.reinforced_robes,Reinforced Robes (Equipment),tianxia.sphere.equipment,Equipment,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Equipment Sphere.** You gain the Equipment sphere and the **Reinforced Robes** talent.,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",1e7777832bb6a39904fa3e8c294c3732d9d891db858dd73f5bbd7a2d559b51d1
tianxia.background_talent.equipment.shield_training,Shield Training (Equipment),tianxia.sphere.equipment,Equipment,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Equipment Sphere.** You gain the Equipment sphere and the **Shield Training** talent.,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",f3a3b5f639a95a0f591b63a868330e7781f7debd684b3d6a25d7f9d8f0fa9207
tianxia.background_talent.equipment.sleep_in_armor,Sleep in Armor (Equipment),tianxia.sphere.equipment,Equipment,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Equipment Sphere.** You gain the Equipment sphere and the **Sleep in Armor** talent.,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",b5f23bbdd84312fd209a4b32c0ba7f804485a9966a5d1144c54986b8e7394817
tianxia.background_talent.flowing_river.empty_step,Empty Step (Flowing River),tianxia.sphere.flowing_river,Flowing River,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Flowing River Sphere.** You gain the Flowing River sphere and the **Empty Step** talent.,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",02b03bd23fb41acf4554b754196b812a2b65832433f104c1eaf1b3e969839faa
tianxia.background_talent.flowing_river.patient_water,Patient Water (Flowing River),tianxia.sphere.flowing_river,Flowing River,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Flowing River Sphere.** You gain the Flowing River sphere and the **Patient Water** talent.,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",352240d4c5b82ee4bb538cd84c11df79570db640b842c142db7167fe8f0b9f45
tianxia.background_talent.flowing_river.reed_in_storm,Reed in Storm (Flowing River),tianxia.sphere.flowing_river,Flowing River,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Flowing River Sphere.** You gain the Flowing River sphere and the **Reed in Storm** talent.,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",f6cd1fc420b06c6be7822bfb79a59df676dd63192f4fc794bd608236fadf841e
